date,daily_confirmed_cases,daily_deaths,countries_and_territories,geo_id,pop_data_2019
2020-12-01,0,0,Laos,LA,7169456
2020-12-02,0,0,Laos,LA,7169456
2020-12-03,0,0,Laos,LA,7169456
2020-12-04,0,0,Laos,LA,7169456
2020-12-05,0,0,Laos,LA,7169456
2020-12-06,0,0,Laos,LA,7169456
2020-12-07,2,0,Laos,LA,7169456
2020-12-08,0,0,Laos,LA,7169456
2020-12-09,0,0,Laos,LA,7169456
2020-12-10,0,0,Laos,LA,7169456
2020-12-11,0,0,Laos,LA,7169456
2020-12-12,0,0,Laos,LA,7169456
2020-12-13,0,0,Laos,LA,7169456
2020-12-14,0,0,Laos,LA,7169456
2020-12-01,12,0,China,CN,1433783692
2020-12-02,9,0,China,CN,1433783692
2020-12-03,16,0,China,CN,1433783692
2020-12-04,17,0,China,CN,1433783692
2020-12-05,17,0,China,CN,1433783692
2020-12-06,18,0,China,CN,1433783692
2020-12-07,15,0,China,CN,1433783692
2020-12-08,12,0,China,CN,1433783692
2020-12-09,15,0,China,CN,1433783692
2020-12-10,12,0,China,CN,1433783692
2020-12-11,15,0,China,CN,1433783692
2020-12-12,13,0,China,CN,1433783692
2020-12-13,24,0,China,CN,1433783692
2020-12-14,12,0,China,CN,1433783692
2020-12-01,3,0,Cambodia,KH,16486542
2020-12-02,3,0,Cambodia,KH,16486542
2020-12-03,2,0,Cambodia,KH,16486542
2020-12-04,0,0,Cambodia,KH,16486542
2020-12-05,14,0,Cambodia,KH,16486542
2020-12-06,1,0,Cambodia,KH,16486542
2020-12-07,2,0,Cambodia,KH,16486542
2020-12-08,2,0,Cambodia,KH,16486542
2020-12-09,4,0,Cambodia,KH,16486542
2020-12-10,2,0,Cambodia,KH,16486542
2020-12-11,0,0,Cambodia,KH,16486542
2020-12-12,1,0,Cambodia,KH,16486542
2020-12-13,2,0,Cambodia,KH,16486542
2020-12-14,0,0,Cambodia,KH,16486542
2020-12-05,1141,0,Malaysia,MY,31949789
2020-12-03,851,2,Malaysia,MY,31949789
2020-12-07,1335,2,Malaysia,MY,31949789
2020-12-08,1600,2,Malaysia,MY,31949789
2020-12-01,1212,3,Malaysia,MY,31949789
2020-12-02,1472,3,Malaysia,MY,31949789
2020-12-11,2234,3,Malaysia,MY,31949789
2020-12-06,1123,4,Malaysia,MY,31949789
2020-12-09,1012,4,Malaysia,MY,31949789
2020-12-14,1229,4,Malaysia,MY,31949789
2020-12-10,959,5,Malaysia,MY,31949789
2020-12-12,1810,6,Malaysia,MY,31949789
2020-12-13,1937,9,Malaysia,MY,31949789
2020-12-04,1075,11,Malaysia,MY,31949789
2020-12-01,21,0,Thailand,TH,69625581
2020-12-02,28,0,Thailand,TH,69625581
2020-12-03,13,0,Thailand,TH,69625581
2020-12-04,0,0,Thailand,TH,69625581
2020-12-05,33,0,Thailand,TH,69625581
2020-12-06,14,0,Thailand,TH,69625581
2020-12-07,21,0,Thailand,TH,69625581
2020-12-08,0,0,Thailand,TH,69625581
2020-12-09,19,0,Thailand,TH,69625581
2020-12-10,25,0,Thailand,TH,69625581
2020-12-11,29,0,Thailand,TH,69625581
2020-12-12,12,0,Thailand,TH,69625581
2020-12-13,17,0,Thailand,TH,69625581
2020-12-14,28,0,Thailand,TH,69625581
2020-12-01,4617,130,Indonesia,ID,270625567
2020-12-02,5092,136,Indonesia,ID,270625567
2020-12-03,5533,118,Indonesia,ID,270625567
2020-12-04,8369,156,Indonesia,ID,270625567
2020-12-05,5803,124,Indonesia,ID,270625567
2020-12-06,6027,110,Indonesia,ID,270625567
2020-12-07,6089,151,Indonesia,ID,270625567
2020-12-08,5754,127,Indonesia,ID,270625567
2020-12-09,5292,133,Indonesia,ID,270625567
2020-12-10,6058,171,Indonesia,ID,270625567
2020-12-11,6033,165,Indonesia,ID,270625567
2020-12-12,6310,175,Indonesia,ID,270625567
2020-12-13,6388,142,Indonesia,ID,270625567
2020-12-14,6189,166,Indonesia,ID,270625567
2020-12-01,5,0,Singapore,SG,5804343
2020-12-02,10,0,Singapore,SG,5804343
2020-12-03,2,0,Singapore,SG,5804343
2020-12-04,9,0,Singapore,SG,5804343
2020-12-05,3,0,Singapore,SG,5804343
2020-12-06,13,0,Singapore,SG,5804343
2020-12-07,5,0,Singapore,SG,5804343
2020-12-08,13,0,Singapore,SG,5804343
2020-12-09,12,0,Singapore,SG,5804343
2020-12-10,6,0,Singapore,SG,5804343
2020-12-11,6,0,Singapore,SG,5804343
2020-12-12,8,0,Singapore,SG,5804343
2020-12-13,8,0,Singapore,SG,5804343
2020-12-14,7,0,Singapore,SG,5804343
2020-12-01,1766,19,Philippines,PH,108116622
2020-12-02,1295,26,Philippines,PH,108116622
2020-12-03,1432,18,Philippines,PH,108116622
2020-12-05,932,63,Philippines,PH,108116622
2020-12-06,1724,17,Philippines,PH,108116622
2020-12-07,1765,28,Philippines,PH,108116622
2020-12-08,1565,18,Philippines,PH,108116622
2020-12-09,1386,98,Philippines,PH,108116622
2020-12-11,1376,24,Philippines,PH,108116622
2020-12-13,1292,21,Philippines,PH,108116622
2020-12-14,1069,3,Philippines,PH,108116622
2020-12-10,1379,7,Philippines,PH,108116622
2020-12-12,1499,8,Philippines,PH,108116622
2020-12-04,1056,10,Philippines,PH,108116622
2020-12-01,0,0,Brunei_Darussalam,BN,433296
2020-12-02,0,0,Brunei_Darussalam,BN,433296
2020-12-03,1,0,Brunei_Darussalam,BN,433296
2020-12-04,0,0,Brunei_Darussalam,BN,433296
2020-12-05,0,0,Brunei_Darussalam,BN,433296
2020-12-06,0,0,Brunei_Darussalam,BN,433296
2020-12-07,0,0,Brunei_Darussalam,BN,433296
2020-12-08,0,0,Brunei_Darussalam,BN,433296
2020-12-09,0,0,Brunei_Darussalam,BN,433296
2020-12-10,1,0,Brunei_Darussalam,BN,433296
2020-12-11,0,0,Brunei_Darussalam,BN,433296
2020-12-12,0,0,Brunei_Darussalam,BN,433296
2020-12-13,0,0,Brunei_Darussalam,BN,433296
2020-12-14,0,0,Brunei_Darussalam,BN,433296
2020-12-01,157903,1172,United_States_of_America,US,329064917
2020-12-02,180421,2600,United_States_of_America,US,329064917
2020-12-03,203311,3190,United_States_of_America,US,329064917
2020-12-04,214747,2481,United_States_of_America,US,329064917
2020-12-05,231930,2680,United_States_of_America,US,329064917
2020-12-06,211933,2203,United_States_of_America,US,329064917
2020-12-07,173432,1111,United_States_of_America,US,329064917
2020-12-08,197334,1433,United_States_of_America,US,329064917
2020-12-09,217344,2564,United_States_of_America,US,329064917
2020-12-10,220025,3124,United_States_of_America,US,329064917
2020-12-11,224680,2748,United_States_of_America,US,329064917
2020-12-12,234633,3343,United_States_of_America,US,329064917
2020-12-13,216017,2315,United_States_of_America,US,329064917
2020-12-14,189723,1340,United_States_of_America,US,329064917
