date,daily_confirmed_cases,daily_deaths,countries_and_territories,geo_id,pop_data_2019
2020-03-25,2,0,Laos,LA,7169456
2020-03-26,0,0,Laos,LA,7169456
2020-03-27,4,0,Laos,LA,7169456
2020-03-28,0,0,Laos,LA,7169456
2020-03-29,0,0,Laos,LA,7169456
2020-03-30,0,0,Laos,LA,7169456
2020-03-31,3,0,Laos,LA,7169456
2020-03-01,574,35,China,CN,1433783692
2020-03-02,205,42,China,CN,1433783692
2020-03-03,127,32,China,CN,1433783692
2020-03-04,119,37,China,CN,1433783692
2020-03-05,117,31,China,CN,1433783692
2020-03-06,170,30,China,CN,1433783692
2020-03-07,101,28,China,CN,1433783692
2020-03-08,46,27,China,CN,1433783692
2020-03-09,45,23,China,CN,1433783692
2020-03-10,20,17,China,CN,1433783692
2020-03-11,29,22,China,CN,1433783692
2020-03-14,19,15,China,CN,1433783692
2020-03-18,23,16,China,CN,1433783692
2020-03-30,98,2,China,CN,1433783692
2020-03-28,119,3,China,CN,1433783692
2020-03-31,84,3,China,CN,1433783692
2020-03-20,99,4,China,CN,1433783692
2020-03-25,78,4,China,CN,1433783692
2020-03-27,94,5,China,CN,1433783692
2020-03-29,113,5,China,CN,1433783692
2020-03-21,52,6,China,CN,1433783692
2020-03-22,65,6,China,CN,1433783692
2020-03-26,102,6,China,CN,1433783692
2020-03-13,22,7,China,CN,1433783692
2020-03-24,69,7,China,CN,1433783692
2020-03-19,44,8,China,CN,1433783692
2020-03-15,22,9,China,CN,1433783692
2020-03-17,43,9,China,CN,1433783692
2020-03-23,138,9,China,CN,1433783692
2020-03-12,24,11,China,CN,1433783692
2020-03-16,25,13,China,CN,1433783692
2020-03-01,0,0,Cambodia,KH,16486542
2020-03-02,0,0,Cambodia,KH,16486542
2020-03-08,1,0,Cambodia,KH,16486542
2020-03-12,1,0,Cambodia,KH,16486542
2020-03-13,2,0,Cambodia,KH,16486542
2020-03-15,2,0,Cambodia,KH,16486542
2020-03-16,5,0,Cambodia,KH,16486542
2020-03-17,12,0,Cambodia,KH,16486542
2020-03-18,0,0,Cambodia,KH,16486542
2020-03-19,0,0,Cambodia,KH,16486542
2020-03-20,0,0,Cambodia,KH,16486542
2020-03-21,23,0,Cambodia,KH,16486542
2020-03-22,4,0,Cambodia,KH,16486542
2020-03-23,35,0,Cambodia,KH,16486542
2020-03-24,1,0,Cambodia,KH,16486542
2020-03-25,4,0,Cambodia,KH,16486542
2020-03-26,5,0,Cambodia,KH,16486542
2020-03-27,2,0,Cambodia,KH,16486542
2020-03-28,4,0,Cambodia,KH,16486542
2020-03-29,1,0,Cambodia,KH,16486542
2020-03-30,4,0,Cambodia,KH,16486542
2020-03-31,2,0,Cambodia,KH,16486542
2020-03-01,0,0,Malaysia,MY,31949789
2020-03-02,4,0,Malaysia,MY,31949789
2020-03-04,7,0,Malaysia,MY,31949789
2020-03-05,14,0,Malaysia,MY,31949789
2020-03-06,0,0,Malaysia,MY,31949789
2020-03-07,33,0,Malaysia,MY,31949789
2020-03-08,10,0,Malaysia,MY,31949789
2020-03-09,6,0,Malaysia,MY,31949789
2020-03-10,18,0,Malaysia,MY,31949789
2020-03-11,12,0,Malaysia,MY,31949789
2020-03-12,20,0,Malaysia,MY,31949789
2020-03-13,9,0,Malaysia,MY,31949789
2020-03-14,39,0,Malaysia,MY,31949789
2020-03-15,41,0,Malaysia,MY,31949789
2020-03-16,190,0,Malaysia,MY,31949789
2020-03-17,125,0,Malaysia,MY,31949789
2020-03-19,117,0,Malaysia,MY,31949789
2020-03-20,110,0,Malaysia,MY,31949789
2020-03-21,130,0,Malaysia,MY,31949789
2020-03-25,106,1,Malaysia,MY,31949789
2020-03-29,159,1,Malaysia,MY,31949789
2020-03-18,120,2,Malaysia,MY,31949789
2020-03-22,153,2,Malaysia,MY,31949789
