date,daily_confirmed_cases,daily_deaths,countries_and_territories,geo_id,pop_data_2019
2020-01-25,441,15,China,CN,1433783692
2020-01-26,665,15,China,CN,1433783692
2020-01-27,787,25,China,CN,1433783692
2020-01-28,1753,25,China,CN,1433783692
2020-01-29,1466,26,China,CN,1433783692
2020-01-30,1740,38,China,CN,1433783692
2020-01-31,1980,43,China,CN,1433783692
2020-01-01,0,0,China,CN,1433783692
2020-01-02,0,0,China,CN,1433783692
2020-01-03,17,0,China,CN,1433783692
2020-01-04,0,0,China,CN,1433783692
2020-01-05,15,0,China,CN,1433783692
2020-01-06,0,0,China,CN,1433783692
2020-01-07,0,0,China,CN,1433783692
2020-01-08,0,0,China,CN,1433783692
2020-01-09,0,0,China,CN,1433783692
2020-01-10,0,0,China,CN,1433783692
2020-01-12,0,0,China,CN,1433783692
2020-01-13,0,0,China,CN,1433783692
2020-01-14,0,0,China,CN,1433783692
2020-01-16,0,0,China,CN,1433783692
2020-01-17,4,0,China,CN,1433783692
2020-01-18,17,0,China,CN,1433783692
2020-01-20,19,0,China,CN,1433783692
2020-01-23,97,0,China,CN,1433783692
2020-01-11,0,1,China,CN,1433783692
2020-01-15,0,1,China,CN,1433783692
2020-01-19,136,1,China,CN,1433783692
2020-01-21,151,3,China,CN,1433783692
2020-01-24,259,9,China,CN,1433783692
2020-01-22,140,11,China,CN,1433783692
2020-01-01,0,0,Cambodia,KH,16486542
2020-01-02,0,0,Cambodia,KH,16486542
2020-01-03,0,0,Cambodia,KH,16486542
2020-01-04,0,0,Cambodia,KH,16486542
2020-01-05,0,0,Cambodia,KH,16486542
2020-01-06,0,0,Cambodia,KH,16486542
2020-01-07,0,0,Cambodia,KH,16486542
2020-01-08,0,0,Cambodia,KH,16486542
2020-01-09,0,0,Cambodia,KH,16486542
2020-01-10,0,0,Cambodia,KH,16486542
2020-01-11,0,0,Cambodia,KH,16486542
2020-01-12,0,0,Cambodia,KH,16486542
2020-01-13,0,0,Cambodia,KH,16486542
2020-01-14,0,0,Cambodia,KH,16486542
2020-01-15,0,0,Cambodia,KH,16486542
2020-01-16,0,0,Cambodia,KH,16486542
2020-01-17,0,0,Cambodia,KH,16486542
2020-01-18,0,0,Cambodia,KH,16486542
2020-01-19,0,0,Cambodia,KH,16486542
2020-01-20,0,0,Cambodia,KH,16486542
2020-01-21,0,0,Cambodia,KH,16486542
2020-01-22,0,0,Cambodia,KH,16486542
2020-01-23,0,0,Cambodia,KH,16486542
2020-01-24,0,0,Cambodia,KH,16486542
2020-01-25,0,0,Cambodia,KH,16486542
2020-01-26,0,0,Cambodia,KH,16486542
2020-01-27,0,0,Cambodia,KH,16486542
2020-01-28,1,0,Cambodia,KH,16486542
2020-01-29,0,0,Cambodia,KH,16486542
2020-01-30,0,0,Cambodia,KH,16486542
2020-01-31,0,0,Cambodia,KH,16486542
2020-01-01,0,0,Malaysia,MY,31949789
2020-01-02,0,0,Malaysia,MY,31949789
2020-01-03,0,0,Malaysia,MY,31949789
2020-01-04,0,0,Malaysia,MY,31949789
2020-01-05,0,0,Malaysia,MY,31949789
2020-01-06,0,0,Malaysia,MY,31949789
2020-01-07,0,0,Malaysia,MY,31949789
2020-01-08,0,0,Malaysia,MY,31949789
2020-01-09,0,0,Malaysia,MY,31949789
2020-01-10,0,0,Malaysia,MY,31949789
2020-01-11,0,0,Malaysia,MY,31949789
2020-01-12,0,0,Malaysia,MY,31949789
2020-01-13,0,0,Malaysia,MY,31949789
2020-01-14,0,0,Malaysia,MY,31949789
2020-01-15,0,0,Malaysia,MY,31949789
2020-01-16,0,0,Malaysia,MY,31949789
2020-01-17,0,0,Malaysia,MY,31949789
2020-01-18,0,0,Malaysia,MY,31949789
2020-01-19,0,0,Malaysia,MY,31949789
2020-01-20,0,0,Malaysia,MY,31949789
2020-01-21,0,0,Malaysia,MY,31949789
2020-01-22,0,0,Malaysia,MY,31949789
2020-01-23,0,0,Malaysia,MY,31949789
2020-01-24,0,0,Malaysia,MY,31949789
2020-01-25,3,0,Malaysia,MY,31949789
2020-01-26,1,0,Malaysia,MY,31949789
2020-01-27,0,0,Malaysia,MY,31949789
2020-01-28,0,0,Malaysia,MY,31949789
2020-01-29,3,0,Malaysia,MY,31949789
2020-01-30,0,0,Malaysia,MY,31949789
2020-01-31,1,0,Malaysia,MY,31949789
2020-01-01,0,0,Thailand,TH,69625581
2020-01-02,0,0,Thailand,TH,69625581
2020-01-03,0,0,Thailand,TH,69625581
2020-01-04,0,0,Thailand,TH,69625581
2020-01-05,0,0,Thailand,TH,69625581
2020-01-06,0,0,Thailand,TH,69625581
2020-01-07,0,0,Thailand,TH,69625581
2020-01-08,0,0,Thailand,TH,69625581
2020-01-09,0,0,Thailand,TH,69625581
2020-01-10,0,0,Thailand,TH,69625581
2020-01-11,0,0,Thailand,TH,69625581
2020-01-12,0,0,Thailand,TH,69625581
2020-01-13,1,0,Thailand,TH,69625581
2020-01-14,0,0,Thailand,TH,69625581
2020-01-15,0,0,Thailand,TH,69625581
2020-01-16,0,0,Thailand,TH,69625581
2020-01-17,1,0,Thailand,TH,69625581
2020-01-18,0,0,Thailand,TH,69625581
2020-01-19,0,0,Thailand,TH,69625581
2020-01-20,0,0,Thailand,TH,69625581
2020-01-21,0,0,Thailand,TH,69625581
2020-01-22,2,0,Thailand,TH,69625581
2020-01-23,0,0,Thailand,TH,69625581
2020-01-24,0,0,Thailand,TH,69625581
2020-01-25,1,0,Thailand,TH,69625581
2020-01-26,0,0,Thailand,TH,69625581
2020-01-27,3,0,Thailand,TH,69625581
2020-01-28,6,0,Thailand,TH,69625581
2020-01-29,0,0,Thailand,TH,69625581
2020-01-30,0,0,Thailand,TH,69625581
2020-01-31,0,0,Thailand,TH,69625581
2020-01-01,0,0,Indonesia,ID,270625567
2020-01-02,0,0,Indonesia,ID,270625567
2020-01-03,0,0,Indonesia,ID,270625567
2020-01-04,0,0,Indonesia,ID,270625567
2020-01-05,0,0,Indonesia,ID,270625567
2020-01-06,0,0,Indonesia,ID,270625567
2020-01-07,0,0,Indonesia,ID,270625567
2020-01-08,0,0,Indonesia,ID,270625567
2020-01-09,0,0,Indonesia,ID,270625567
2020-01-10,0,0,Indonesia,ID,270625567
2020-01-11,0,0,Indonesia,ID,270625567
2020-01-12,0,0,Indonesia,ID,270625567
2020-01-13,0,0,Indonesia,ID,270625567
2020-01-14,0,0,Indonesia,ID,270625567
2020-01-15,0,0,Indonesia,ID,270625567
2020-01-16,0,0,Indonesia,ID,270625567
2020-01-17,0,0,Indonesia,ID,270625567
2020-01-18,0,0,Indonesia,ID,270625567
2020-01-19,0,0,Indonesia,ID,270625567
2020-01-20,0,0,Indonesia,ID,270625567
2020-01-21,0,0,Indonesia,ID,270625567
2020-01-22,0,0,Indonesia,ID,270625567
2020-01-23,0,0,Indonesia,ID,270625567
2020-01-24,0,0,Indonesia,ID,270625567
2020-01-25,0,0,Indonesia,ID,270625567
2020-01-26,0,0,Indonesia,ID,270625567
2020-01-27,0,0,Indonesia,ID,270625567
2020-01-28,0,0,Indonesia,ID,270625567
2020-01-29,0,0,Indonesia,ID,270625567
2020-01-30,0,0,Indonesia,ID,270625567
2020-01-31,0,0,Indonesia,ID,270625567
2020-01-01,0,0,Singapore,SG,5804343
2020-01-02,0,0,Singapore,SG,5804343
2020-01-03,0,0,Singapore,SG,5804343
2020-01-04,0,0,Singapore,SG,5804343
2020-01-05,0,0,Singapore,SG,5804343
2020-01-06,0,0,Singapore,SG,5804343
2020-01-07,0,0,Singapore,SG,5804343
2020-01-08,0,0,Singapore,SG,5804343
2020-01-09,0,0,Singapore,SG,5804343
2020-01-10,0,0,Singapore,SG,5804343
2020-01-11,0,0,Singapore,SG,5804343
2020-01-12,0,0,Singapore,SG,5804343
2020-01-13,0,0,Singapore,SG,5804343
2020-01-14,0,0,Singapore,SG,5804343
2020-01-15,0,0,Singapore,SG,5804343
2020-01-16,0,0,Singapore,SG,5804343
2020-01-17,0,0,Singapore,SG,5804343
2020-01-18,0,0,Singapore,SG,5804343
2020-01-19,0,0,Singapore,SG,5804343
2020-01-20,0,0,Singapore,SG,5804343
2020-01-21,0,0,Singapore,SG,5804343
2020-01-22,0,0,Singapore,SG,5804343
2020-01-23,0,0,Singapore,SG,5804343
2020-01-24,3,0,Singapore,SG,5804343
2020-01-25,0,0,Singapore,SG,5804343
2020-01-26,1,0,Singapore,SG,5804343
2020-01-27,0,0,Singapore,SG,5804343
2020-01-28,1,0,Singapore,SG,5804343
2020-01-29,2,0,Singapore,SG,5804343
2020-01-30,3,0,Singapore,SG,5804343
2020-01-31,3,0,Singapore,SG,5804343
2020-01-01,0,0,Philippines,PH,108116622
2020-01-02,0,0,Philippines,PH,108116622
2020-01-03,0,0,Philippines,PH,108116622
2020-01-04,0,0,Philippines,PH,108116622
2020-01-05,0,0,Philippines,PH,108116622
2020-01-06,0,0,Philippines,PH,108116622
2020-01-07,0,0,Philippines,PH,108116622
2020-01-08,0,0,Philippines,PH,108116622
2020-01-09,0,0,Philippines,PH,108116622
2020-01-10,0,0,Philippines,PH,108116622
2020-01-11,0,0,Philippines,PH,108116622
2020-01-12,0,0,Philippines,PH,108116622
2020-01-13,0,0,Philippines,PH,108116622
2020-01-14,0,0,Philippines,PH,108116622
2020-01-15,0,0,Philippines,PH,108116622
2020-01-16,0,0,Philippines,PH,108116622
2020-01-17,0,0,Philippines,PH,108116622
2020-01-18,0,0,Philippines,PH,108116622
2020-01-19,0,0,Philippines,PH,108116622
2020-01-20,0,0,Philippines,PH,108116622
2020-01-21,0,0,Philippines,PH,108116622
2020-01-22,0,0,Philippines,PH,108116622
2020-01-23,0,0,Philippines,PH,108116622
2020-01-24,0,0,Philippines,PH,108116622
2020-01-25,0,0,Philippines,PH,108116622
2020-01-26,0,0,Philippines,PH,108116622
2020-01-27,0,0,Philippines,PH,108116622
2020-01-28,0,0,Philippines,PH,108116622
2020-01-29,0,0,Philippines,PH,108116622
2020-01-30,1,0,Philippines,PH,108116622
2020-01-31,0,0,Philippines,PH,108116622
2020-01-01,0,0,United_States_of_America,US,329064917
2020-01-02,0,0,United_States_of_America,US,329064917
2020-01-03,0,0,United_States_of_America,US,329064917
2020-01-04,0,0,United_States_of_America,US,329064917
2020-01-05,0,0,United_States_of_America,US,329064917
2020-01-06,0,0,United_States_of_America,US,329064917
2020-01-07,0,0,United_States_of_America,US,329064917
2020-01-08,0,0,United_States_of_America,US,329064917
2020-01-09,0,0,United_States_of_America,US,329064917
2020-01-10,0,0,United_States_of_America,US,329064917
2020-01-11,0,0,United_States_of_America,US,329064917
2020-01-12,0,0,United_States_of_America,US,329064917
2020-01-13,0,0,United_States_of_America,US,329064917
2020-01-14,0,0,United_States_of_America,US,329064917
2020-01-15,0,0,United_States_of_America,US,329064917
2020-01-16,0,0,United_States_of_America,US,329064917
2020-01-17,0,0,United_States_of_America,US,329064917
2020-01-18,0,0,United_States_of_America,US,329064917
2020-01-19,0,0,United_States_of_America,US,329064917
2020-01-20,0,0,United_States_of_America,US,329064917
2020-01-21,1,0,United_States_of_America,US,329064917
2020-01-22,0,0,United_States_of_America,US,329064917
2020-01-23,0,0,United_States_of_America,US,329064917
2020-01-24,0,0,United_States_of_America,US,329064917
2020-01-25,1,0,United_States_of_America,US,329064917
2020-01-26,0,0,United_States_of_America,US,329064917
2020-01-27,3,0,United_States_of_America,US,329064917
2020-01-28,0,0,United_States_of_America,US,329064917
2020-01-29,0,0,United_States_of_America,US,329064917
2020-01-30,0,0,United_States_of_America,US,329064917
2020-01-31,1,0,United_States_of_America,US,329064917
