date,daily_confirmed_cases,daily_deaths,countries_and_territories,geo_id,pop_data_2019
2020-09-01,0,0,Laos,LA,7169456
2020-09-02,0,0,Laos,LA,7169456
2020-09-03,0,0,Laos,LA,7169456
2020-09-04,0,0,Laos,LA,7169456
2020-09-05,0,0,Laos,LA,7169456
2020-09-06,0,0,Laos,LA,7169456
2020-09-07,0,0,Laos,LA,7169456
2020-09-08,0,0,Laos,LA,7169456
2020-09-09,0,0,Laos,LA,7169456
2020-09-10,0,0,Laos,LA,7169456
2020-09-11,0,0,Laos,LA,7169456
2020-09-12,1,0,Laos,LA,7169456
2020-09-13,0,0,Laos,LA,7169456
2020-09-14,0,0,Laos,LA,7169456
2020-09-15,0,0,Laos,LA,7169456
2020-09-16,0,0,Laos,LA,7169456
2020-09-17,0,0,Laos,LA,7169456
2020-09-18,0,0,Laos,LA,7169456
2020-09-19,0,0,Laos,LA,7169456
2020-09-20,0,0,Laos,LA,7169456
2020-09-21,0,0,Laos,LA,7169456
2020-09-22,0,0,Laos,LA,7169456
2020-09-23,0,0,Laos,LA,7169456
2020-09-24,0,0,Laos,LA,7169456
2020-09-25,0,0,Laos,LA,7169456
2020-09-26,0,0,Laos,LA,7169456
2020-09-27,0,0,Laos,LA,7169456
2020-09-28,0,0,Laos,LA,7169456
2020-09-29,0,0,Laos,LA,7169456
2020-09-30,0,0,Laos,LA,7169456
2020-09-05,22,0,China,CN,1433783692
2020-09-06,17,0,China,CN,1433783692
2020-09-10,13,0,China,CN,1433783692
2020-09-11,27,0,China,CN,1433783692
2020-09-12,18,0,China,CN,1433783692
2020-09-14,29,0,China,CN,1433783692
2020-09-17,7,0,China,CN,1433783692
2020-09-18,44,0,China,CN,1433783692
2020-09-20,25,0,China,CN,1433783692
2020-09-21,36,0,China,CN,1433783692
2020-09-22,12,0,China,CN,1433783692
2020-09-23,18,0,China,CN,1433783692
2020-09-25,15,0,China,CN,1433783692
2020-09-27,15,0,China,CN,1433783692
2020-09-28,27,0,China,CN,1433783692
2020-09-29,22,0,China,CN,1433783692
2020-09-30,23,0,China,CN,1433783692
2020-09-01,19,1,China,CN,1433783692
2020-09-02,20,1,China,CN,1433783692
2020-09-04,33,1,China,CN,1433783692
2020-09-09,8,1,China,CN,1433783692
2020-09-13,23,1,China,CN,1433783692
2020-09-15,22,1,China,CN,1433783692
2020-09-16,24,1,China,CN,1433783692
2020-09-19,14,1,China,CN,1433783692
2020-09-24,10,1,China,CN,1433783692
2020-09-26,17,1,China,CN,1433783692
2020-09-07,33,2,China,CN,1433783692
2020-09-08,21,2,China,CN,1433783692
2020-09-03,19,3,China,CN,1433783692
2020-09-01,0,0,Cambodia,KH,16486542
2020-09-02,0,0,Cambodia,KH,16486542
2020-09-03,0,0,Cambodia,KH,16486542
2020-09-04,0,0,Cambodia,KH,16486542
2020-09-05,0,0,Cambodia,KH,16486542
2020-09-06,0,0,Cambodia,KH,16486542
2020-09-07,0,0,Cambodia,KH,16486542
2020-09-08,0,0,Cambodia,KH,16486542
2020-09-09,0,0,Cambodia,KH,16486542
2020-09-10,0,0,Cambodia,KH,16486542
2020-09-11,0,0,Cambodia,KH,16486542
2020-09-12,0,0,Cambodia,KH,16486542
2020-09-13,1,0,Cambodia,KH,16486542
2020-09-14,0,0,Cambodia,KH,16486542
2020-09-15,0,0,Cambodia,KH,16486542
2020-09-16,0,0,Cambodia,KH,16486542
2020-09-17,0,0,Cambodia,KH,16486542
2020-09-18,0,0,Cambodia,KH,16486542
2020-09-19,0,0,Cambodia,KH,16486542
2020-09-20,0,0,Cambodia,KH,16486542
2020-09-21,0,0,Cambodia,KH,16486542
2020-09-22,0,0,Cambodia,KH,16486542
2020-09-23,0,0,Cambodia,KH,16486542
2020-09-24,0,0,Cambodia,KH,16486542
2020-09-25,0,0,Cambodia,KH,16486542
2020-09-26,0,0,Cambodia,KH,16486542
2020-09-27,1,0,Cambodia,KH,16486542
2020-09-28,0,0,Cambodia,KH,16486542
2020-09-29,1,0,Cambodia,KH,16486542
2020-09-30,0,0,Cambodia,KH,16486542
2020-09-03,6,0,Malaysia,MY,31949789
2020-09-04,14,0,Malaysia,MY,31949789
2020-09-05,0,0,Malaysia,MY,31949789
2020-09-06,17,0,Malaysia,MY,31949789
2020-09-07,6,0,Malaysia,MY,31949789
2020-09-08,62,0,Malaysia,MY,31949789
2020-09-09,100,0,Malaysia,MY,31949789
2020-09-10,24,0,Malaysia,MY,31949789
2020-09-11,45,0,Malaysia,MY,31949789
2020-09-12,182,0,Malaysia,MY,31949789
2020-09-13,58,0,Malaysia,MY,31949789
2020-09-14,47,0,Malaysia,MY,31949789
2020-09-15,31,0,Malaysia,MY,31949789
2020-09-16,23,0,Malaysia,MY,31949789
2020-09-17,62,0,Malaysia,MY,31949789
2020-09-18,21,0,Malaysia,MY,31949789
2020-09-21,52,0,Malaysia,MY,31949789
2020-09-22,57,0,Malaysia,MY,31949789
2020-09-23,82,0,Malaysia,MY,31949789
2020-09-25,71,0,Malaysia,MY,31949789
2020-09-26,0,0,Malaysia,MY,31949789
2020-09-27,193,0,Malaysia,MY,31949789
2020-09-29,115,0,Malaysia,MY,31949789
