date,daily_confirmed_cases,daily_deaths,countries_and_territories,geo_id,pop_data_2019
2020-10-01,0,0,Laos,LA,7169456
2020-10-02,0,0,Laos,LA,7169456
2020-10-03,0,0,Laos,LA,7169456
2020-10-04,0,0,Laos,LA,7169456
2020-10-05,0,0,Laos,LA,7169456
2020-10-06,0,0,Laos,LA,7169456
2020-10-07,0,0,Laos,LA,7169456
2020-10-08,0,0,Laos,LA,7169456
2020-10-09,0,0,Laos,LA,7169456
2020-10-10,0,0,Laos,LA,7169456
2020-10-11,0,0,Laos,LA,7169456
2020-10-12,0,0,Laos,LA,7169456
2020-10-13,0,0,Laos,LA,7169456
2020-10-14,0,0,Laos,LA,7169456
2020-10-15,0,0,Laos,LA,7169456
2020-10-16,0,0,Laos,LA,7169456
2020-10-17,0,0,Laos,LA,7169456
2020-10-18,0,0,Laos,LA,7169456
2020-10-19,0,0,Laos,LA,7169456
2020-10-20,0,0,Laos,LA,7169456
2020-10-21,0,0,Laos,LA,7169456
2020-10-22,1,0,Laos,LA,7169456
2020-10-23,0,0,Laos,LA,7169456
2020-10-24,0,0,Laos,LA,7169456
2020-10-25,0,0,Laos,LA,7169456
2020-10-26,0,0,Laos,LA,7169456
2020-10-27,0,0,Laos,LA,7169456
2020-10-28,0,0,Laos,LA,7169456
2020-10-29,0,0,Laos,LA,7169456
2020-10-30,0,0,Laos,LA,7169456
2020-10-31,0,0,Laos,LA,7169456
2020-10-01,0,0,China,CN,1433783692
2020-10-02,39,0,China,CN,1433783692
2020-10-03,17,0,China,CN,1433783692
2020-10-04,20,0,China,CN,1433783692
2020-10-05,25,0,China,CN,1433783692
2020-10-06,23,0,China,CN,1433783692
2020-10-07,15,0,China,CN,1433783692
2020-10-08,22,0,China,CN,1433783692
2020-10-09,39,0,China,CN,1433783692
2020-10-10,29,0,China,CN,1433783692
2020-10-11,21,0,China,CN,1433783692
2020-10-12,34,0,China,CN,1433783692
2020-10-13,18,0,China,CN,1433783692
2020-10-14,28,0,China,CN,1433783692
2020-10-15,11,0,China,CN,1433783692
2020-10-16,36,0,China,CN,1433783692
2020-10-17,20,0,China,CN,1433783692
2020-10-18,30,0,China,CN,1433783692
2020-10-19,17,0,China,CN,1433783692
2020-10-20,34,0,China,CN,1433783692
2020-10-21,16,0,China,CN,1433783692
2020-10-22,22,0,China,CN,1433783692
2020-10-23,29,0,China,CN,1433783692
2020-10-24,33,0,China,CN,1433783692
2020-10-25,19,0,China,CN,1433783692
2020-10-26,26,0,China,CN,1433783692
2020-10-27,24,0,China,CN,1433783692
2020-10-28,42,0,China,CN,1433783692
2020-10-29,24,0,China,CN,1433783692
2020-10-30,25,0,China,CN,1433783692
2020-10-31,33,0,China,CN,1433783692
2020-10-01,0,0,Cambodia,KH,16486542
2020-10-02,0,0,Cambodia,KH,16486542
2020-10-03,1,0,Cambodia,KH,16486542
2020-10-04,0,0,Cambodia,KH,16486542
2020-10-05,2,0,Cambodia,KH,16486542
2020-10-06,0,0,Cambodia,KH,16486542
2020-10-07,0,0,Cambodia,KH,16486542
2020-10-08,1,0,Cambodia,KH,16486542
2020-10-09,1,0,Cambodia,KH,16486542
2020-10-10,1,0,Cambodia,KH,16486542
2020-10-11,0,0,Cambodia,KH,16486542
2020-10-12,0,0,Cambodia,KH,16486542
2020-10-13,0,0,Cambodia,KH,16486542
2020-10-14,0,0,Cambodia,KH,16486542
2020-10-15,0,0,Cambodia,KH,16486542
2020-10-16,0,0,Cambodia,KH,16486542
2020-10-17,0,0,Cambodia,KH,16486542
2020-10-18,0,0,Cambodia,KH,16486542
2020-10-19,0,0,Cambodia,KH,16486542
2020-10-20,2,0,Cambodia,KH,16486542
2020-10-21,1,0,Cambodia,KH,16486542
2020-10-22,0,0,Cambodia,KH,16486542
2020-10-23,0,0,Cambodia,KH,16486542
2020-10-24,1,0,Cambodia,KH,16486542
2020-10-25,0,0,Cambodia,KH,16486542
2020-10-26,0,0,Cambodia,KH,16486542
2020-10-27,1,0,Cambodia,KH,16486542
2020-10-28,2,0,Cambodia,KH,16486542
2020-10-29,0,0,Cambodia,KH,16486542
2020-10-30,0,0,Cambodia,KH,16486542
2020-10-31,0,0,Cambodia,KH,16486542
2020-10-01,0,0,Malaysia,MY,31949789
2020-10-03,287,0,Malaysia,MY,31949789
2020-10-05,293,0,Malaysia,MY,31949789
2020-10-06,432,0,Malaysia,MY,31949789
2020-10-08,489,0,Malaysia,MY,31949789
2020-10-30,679,0,Malaysia,MY,31949789
2020-10-04,317,1,Malaysia,MY,31949789
2020-10-02,349,2,Malaysia,MY,31949789
2020-10-12,561,2,Malaysia,MY,31949789
2020-10-13,563,2,Malaysia,MY,31949789
2020-10-28,835,2,Malaysia,MY,31949789
2020-10-11,374,3,Malaysia,MY,31949789
2020-10-16,589,3,Malaysia,MY,31949789
2020-10-20,865,3,Malaysia,MY,31949789
2020-10-21,862,3,Malaysia,MY,31949789
2020-10-31,809,3,Malaysia,MY,31949789
2020-10-07,691,4,Malaysia,MY,31949789
2020-10-14,660,4,Malaysia,MY,31949789
2020-10-15,660,4,Malaysia,MY,31949789
2020-10-18,869,4,Malaysia,MY,31949789
2020-10-09,375,5,Malaysia,MY,31949789
2020-10-23,847,5,Malaysia,MY,31949789
2020-10-10,354,6,Malaysia,MY,31949789
2020-10-17,629,6,Malaysia,MY,31949789
2020-10-22,732,6,Malaysia,MY,31949789
2020-10-19,871,7,Malaysia,MY,31949789
2020-10-25,1228,7,Malaysia,MY,31949789
2020-10-27,1240,7,Malaysia,MY,31949789
2020-10-26,823,8,Malaysia,MY,31949789
2020-10-29,771,8,Malaysia,MY,31949789
2020-10-24,710,10,Malaysia,MY,31949789
2020-10-01,5,0,Thailand,TH,69625581
2020-10-02,6,0,Thailand,TH,69625581
2020-10-03,8,0,Thailand,TH,69625581
2020-10-04,0,0,Thailand,TH,69625581
2020-10-05,7,0,Thailand,TH,69625581
2020-10-06,10,0,Thailand,TH,69625581
2020-10-07,15,0,Thailand,TH,69625581
2020-10-08,7,0,Thailand,TH,69625581
2020-10-09,6,0,Thailand,TH,69625581
2020-10-10,6,0,Thailand,TH,69625581
2020-10-11,0,0,Thailand,TH,69625581
2020-10-12,7,0,Thailand,TH,69625581
2020-10-13,2,0,Thailand,TH,69625581
2020-10-14,9,0,Thailand,TH,69625581
2020-10-15,13,0,Thailand,TH,69625581
2020-10-16,4,0,Thailand,TH,69625581
2020-10-17,10,0,Thailand,TH,69625581
2020-10-18,7,0,Thailand,TH,69625581
2020-10-19,5,0,Thailand,TH,69625581
2020-10-20,9,0,Thailand,TH,69625581
2020-10-21,9,0,Thailand,TH,69625581
2020-10-22,10,0,Thailand,TH,69625581
2020-10-23,8,0,Thailand,TH,69625581
2020-10-24,4,0,Thailand,TH,69625581
2020-10-25,5,0,Thailand,TH,69625581
2020-10-26,7,0,Thailand,TH,69625581
2020-10-27,3,0,Thailand,TH,69625581
2020-10-28,13,0,Thailand,TH,69625581
2020-10-29,4,0,Thailand,TH,69625581
2020-10-30,12,0,Thailand,TH,69625581
2020-10-31,5,0,Thailand,TH,69625581
2020-10-01,4284,139,Indonesia,ID,270625567
2020-10-02,4174,116,Indonesia,ID,270625567
2020-10-03,4317,116,Indonesia,ID,270625567
2020-10-04,4007,83,Indonesia,ID,270625567
2020-10-05,3992,96,Indonesia,ID,270625567
2020-10-06,3622,102,Indonesia,ID,270625567
2020-10-07,4056,121,Indonesia,ID,270625567
2020-10-08,4538,98,Indonesia,ID,270625567
2020-10-09,4850,108,Indonesia,ID,270625567
2020-10-10,4094,97,Indonesia,ID,270625567
2020-10-11,4294,88,Indonesia,ID,270625567
2020-10-12,4497,79,Indonesia,ID,270625567
2020-10-13,3267,91,Indonesia,ID,270625567
2020-10-14,3906,92,Indonesia,ID,270625567
2020-10-15,4127,129,Indonesia,ID,270625567
2020-10-16,4411,112,Indonesia,ID,270625567
2020-10-17,4301,79,Indonesia,ID,270625567
2020-10-18,4301,84,Indonesia,ID,270625567
2020-10-19,4105,80,Indonesia,ID,270625567
2020-10-20,3373,106,Indonesia,ID,270625567
2020-10-21,3602,117,Indonesia,ID,270625567
2020-10-22,4267,123,Indonesia,ID,270625567
2020-10-23,4432,102,Indonesia,ID,270625567
2020-10-24,4369,118,Indonesia,ID,270625567
2020-10-25,4070,128,Indonesia,ID,270625567
2020-10-26,3732,94,Indonesia,ID,270625567
2020-10-27,3222,112,Indonesia,ID,270625567
2020-10-28,3520,101,Indonesia,ID,270625567
2020-10-29,4029,100,Indonesia,ID,270625567
2020-10-30,3565,89,Indonesia,ID,270625567
2020-10-31,2897,81,Indonesia,ID,270625567
2020-10-01,0,0,Singapore,SG,5804343
2020-10-02,42,0,Singapore,SG,5804343
2020-10-03,10,0,Singapore,SG,5804343
2020-10-04,6,0,Singapore,SG,5804343
2020-10-05,12,0,Singapore,SG,5804343
2020-10-06,7,0,Singapore,SG,5804343
2020-10-07,11,0,Singapore,SG,5804343
2020-10-08,10,0,Singapore,SG,5804343
2020-10-09,9,0,Singapore,SG,5804343
2020-10-10,10,0,Singapore,SG,5804343
2020-10-11,7,0,Singapore,SG,5804343
2020-10-12,10,0,Singapore,SG,5804343
2020-10-14,4,0,Singapore,SG,5804343
2020-10-15,5,0,Singapore,SG,5804343
2020-10-16,3,0,Singapore,SG,5804343
2020-10-17,9,0,Singapore,SG,5804343
2020-10-18,3,0,Singapore,SG,5804343
2020-10-19,7,0,Singapore,SG,5804343
2020-10-20,4,0,Singapore,SG,5804343
2020-10-21,6,0,Singapore,SG,5804343
2020-10-22,12,0,Singapore,SG,5804343
2020-10-23,8,0,Singapore,SG,5804343
2020-10-24,10,0,Singapore,SG,5804343
2020-10-25,14,0,Singapore,SG,5804343
2020-10-26,5,0,Singapore,SG,5804343
2020-10-27,3,0,Singapore,SG,5804343
2020-10-28,7,0,Singapore,SG,5804343
2020-10-29,7,0,Singapore,SG,5804343
2020-10-30,7,0,Singapore,SG,5804343
2020-10-31,9,0,Singapore,SG,5804343
2020-10-13,4,1,Singapore,SG,5804343
2020-10-02,4776,114,Philippines,PH,108116622
